localizacion,precio,habitaciones,espacio,planta
"Piso en calle Zurbarán, 5, Zona Laguna, Cádiz",900€,3,95,Planta 5ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",1.000€,3,86,Planta 3ª exterior sin ascensor
"Piso en calle García Lorca, 9, Zona San José - Varela, Cádiz",950€,3,70,Planta 3ª exterior sin ascensor
"Piso en Zona Laguna, Cádiz",900€,3,75,Planta 9ª exterior con ascensor
"Ático en calle Cruz Roja Española, 3, Playa Victoria - Paseo Marítimo, Cádiz",1.200€,2,80,Planta 3ª exterior con ascensor
"Piso en calle ahumada, Mentidero - Teatro Falla - Alameda, Cádiz",750€,2,64,Planta 1ª interior sin ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",750€,2,85,Bajo exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",1.100€,2,90,Planta 1ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",1.200€,4,116,Planta 6ª exterior con ascensor
"Piso en calle Antonio Accame, Playa Victoria - Paseo Marítimo, Cádiz",850€,3,80,Planta 4ª exterior con ascensor
"Piso en La Caleta - La Viña, Cádiz",800€,3,95,Planta 1ª interior con ascensor
"Piso en calle de la Rosa, La Caleta - La Viña, Cádiz",1.200€,3,100,Planta 1ª exterior sin ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",1.100€,3,94,Planta 2ª exterior con ascensor
"Piso en calle Mesón, 9, Ayuntamiento - Catedral, Cádiz",1.200€,3,80,Planta 2ª exterior sin ascensor
"Piso en calle Plus Ultra, 5, La Paz - Segunda Aguada - Loreto, Cádiz",800€,2,80,Planta 5ª exterior con ascensor
"Piso en san juan bautista, 1, Playa Victoria - Paseo Marítimo, Cádiz",1.200€,2,60,Planta 4ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",750€,2,73,Planta 1ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",850€,3,92,Planta 3ª exterior con ascensor
"Piso en Cortadura - Zona Franca, Cádiz",1.000€,2,75,Planta 1ª exterior con ascensor
"Piso en Zona Laguna, Cádiz",850€,3,92,Planta 7ª exterior con ascensor
"Piso en calle Sorolla, Zona Laguna, Cádiz",600€,2,65,Planta 1ª exterior con ascensor
"Piso en alameda Apodaca, Mentidero - Teatro Falla - Alameda, Cádiz",1.100€,3,100,Planta 1ª exterior sin ascensor
"Piso en Mentidero - Teatro Falla - Alameda, Cádiz",700€,2,57,Planta 4ª exterior sin ascensor
"Piso en Zona San José - Varela, Cádiz",900€,3,97,Planta 1ª exterior sin ascensor
"Piso en pergolas, 3, Zona Bahía Blanca, Cádiz",1.000€,2,65,Planta 4ª exterior con ascensor
"Piso en calle Navas, 4, Mentidero - Teatro Falla - Alameda, Cádiz",700€,2,55,Planta 2ª interior sin ascensor
"Piso en calle Virgen de la Palma, La Caleta - La Viña, Cádiz",850€,2,55,Bajo interior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",1.100€,3,90,Bajo exterior sin ascensor
"Piso en Zona Laguna, Cádiz",800€,3,73,Planta 9ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",800€,3,87,Planta 11ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",990€,3,100,Planta 3ª interior con ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",1.200€,3,97,Planta 3ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",800€,3,80,Planta 3ª exterior con ascensor
"Piso en La Caleta - La Viña, Cádiz",1.000€,2,68,Planta 2ª exterior con ascensor
"Piso en Zona Laguna, Cádiz",850€,4,114,Planta 8ª exterior con ascensor
"Piso en plaza de Bécquer, Zona Laguna, Cádiz",900€,4,120,Planta 2ª exterior con ascensor
"Piso en calle Suárez de Salazar, Ayuntamiento - Catedral, Cádiz",775€,2,60,Bajo exterior sin ascensor
"Piso en plaza Jesús Nazareno, La Caleta - La Viña, Cádiz",950€,3,86,Planta 3ª exterior con ascensor
"Piso en paseo Marítimo, Playa Victoria - Paseo Marítimo, Cádiz",1.200€,3,89,Planta 8ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",800€,4,97,Planta 4ª exterior sin ascensor
"Piso en calle Velázquez, 15, Zona Laguna, Cádiz",950€,3,85,Planta 3ª exterior con ascensor
"Piso en calle Goya, 13, Zona Laguna, Cádiz",850€,3,93,Planta 3ª exterior con ascensor
"Piso en La Caleta - La Viña, Cádiz",1.200€,4,98,Planta 2ª exterior sin ascensor
"Piso en calle Alonso Cano, 8, Zona Laguna, Cádiz",900€,2,82,Planta 3ª interior con ascensor
"Piso en paseo Marítimo, Playa Victoria - Paseo Marítimo, Cádiz",800€,3,100,Planta 7ª exterior con ascensor
"Piso en avenida Campo del Sur, 36, La Caleta - La Viña, Cádiz",700€,3,100,Planta 1ª exterior con ascensor
"Piso en calle Pericón de Cádiz, 22 n, La Caleta - La Viña, Cádiz",875€,3,85,Planta 3ª exterior sin ascensor
"Piso en calle María Arteaga, 18, La Caleta - La Viña, Cádiz",875€,3,80,Planta 3ª exterior sin ascensor
"Piso en Ecuador, Zona San José - Varela, Cádiz",750€,2,85,Planta 7ª exterior con ascensor
"Piso en plaza Topete, 9, Centro Histórico - Plaza España, Cádiz",1.200€,3,95,Planta 3ª exterior sin ascensor
"Piso en paseo Marítimo, 8, Playa Victoria - Paseo Marítimo, Cádiz",850€,2,60,Bajo interior con ascensor
"Piso en calle San Roque, 2, Ayuntamiento - Catedral, Cádiz",700€,2,75,Planta 1ª exterior sin ascensor
"Piso en avenida Jose Leon de Carranza, 24, Playa Victoria - Paseo Marítimo, Cádiz",950€,2,70,Planta 7ª interior con ascensor
"Piso en General Muñoz Arenillas, 1, Playa Victoria - Paseo Marítimo, Cádiz",890€,2,84,Planta 2ª exterior con ascensor
"Piso en calle Sacramento, 49, Centro Histórico - Plaza España, Cádiz",700€,4,85,Planta 2ª interior sin ascensor
"Piso en avenida Cuatro de Diciembre de 1977, 4, Centro Histórico - Plaza España, Cádiz",1.200€,2,100,Planta 1ª exterior con ascensor
