localizacion,habitaciones,precio,espacio,planta,extras,link
Alquiler de Piso en Zona San José - Varela,3 hab.,1.000 €,86 m²,Planta 3ª exterior sin ascensor,"['2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Cocina equipada y casa sin amueblar', 'Calefacción individual: Bomba de frío/calor']",https://www.idealista.com/inmueble/107311281/
Alquiler de Piso en calle San Salvador s/n,3 hab.,1.300 €,105 m²,Planta 3ª exterior con ascensor,"['2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/107110724/
Alquiler de Piso en Zona San José - Varela,4 hab.,1.200 €,116 m²,Planta 6ª exterior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1973', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/91764183/
Alquiler de Piso en calle de la Rosa,3 hab.,1.200 €,100 m²,Planta 1ª exterior sin ascensor,"['2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107078851/
Alquiler de Piso en Playa Victoria - Paseo Marítimo,3 hab.,1.100 €,94 m²,Planta 2ª exterior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Cocina equipada y casa sin amueblar', 'No dispone de calefacción']",https://www.idealista.com/inmueble/107170750/
"Alquiler de Piso en avenida Duque de Nájera, 4 , Bajo Dcha. 1",3 hab.,1.250 €,90 m²,exterior sin ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción individual']",https://www.idealista.com/inmueble/94099144/
"Alquiler de Piso en calle Mesón, 9",3 hab.,1.200 €,80 m²,Planta 2ª exterior sin ascensor,"['1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/105930752/
Alquiler de Piso en alameda Apodaca,3 hab.,1.100 €,100 m²,Planta 1ª exterior sin ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/100908369/
Alquiler de Piso en Playa Victoria - Paseo Marítimo,3 hab.,1.100 €,90 m²,Bajo exterior sin ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/100442512/
Alquiler de Piso en Playa Stª Mª del Mar,3 hab.,1.200 €,97 m²,Planta 3ª exterior con ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2007', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/105826428/
