localizacion,habitaciones,precio,espacio,planta,extras,link
Alquiler de Piso en paseo Marítimo,3 hab.,1.200 €,89 m²,Planta 8ª exterior con ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/105943143/
Alquiler de Piso en La Caleta - La Viña,4 hab.,1.200 €,98 m²,Planta 2ª exterior sin ascensor,"['1 baño', 'Segunda mano/buen estado', 'Construido en 1888', 'Cocina equipada y casa sin amueblar', 'No dispone de calefacción']",https://www.idealista.com/inmueble/105044499/
Alquiler de Piso en Zona Bahía Blanca,4 hab.,1.250 €,131 m²,Planta 5ª exterior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107121438/
"Alquiler de Piso en avenida José León de Carranza, 18",3 hab.,1.050 €,60 m²,Planta 1ª exterior con ascensor,"['1 baño', 'Terraza y balcón', 'Segunda mano/buen estado', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/81149211/
"Alquiler de Piso en avenida Duque de Nájera, 4",3 hab.,1.250 €,95 m²,Bajo exterior sin ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción individual: Bomba de frío/calor']",https://www.idealista.com/inmueble/94722506/
"Alquiler de Piso en plaza Topete, 9",3 hab.,1.200 €,95 m²,Planta 3ª exterior sin ascensor,"['1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/96303415/
"Alquiler de Piso en calle Portería de Capuchinos, 5",3 hab.,1.200 €,85 m²,Planta 2ª exterior sin ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/106709327/
"Alquiler de Piso en plaza jerez de la frontera, 6",3 hab.,1.000 €,95 m²,Planta 6ª exterior con ascensor,"['1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'Calefacción individual: Gas natural']",https://www.idealista.com/inmueble/31603552/
"Alquiler de Piso en Av. Periodista Beatriz Cienfuegos, 8",3 hab.,1.150 €,102 m²,Planta 1ª exterior con ascensor,"['2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/101791101/
Alquiler de Piso en Zona San José - Varela,4 hab.,1.100 €,143 m²,Planta 6ª exterior con ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1975', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/105376727/
Alquiler de Piso en calle Santo Tomás,3 hab.,1.200 €,98 m²,Planta 1ª exterior con ascensor,"['2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/101790923/
"Alquiler de Piso en calle Fernández Ballesteros, 23",3 hab.,1.200 €,105 m²,Planta 7ª exterior con ascensor,"['1 baño', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/94404151/
"Alquiler de Piso en avenida de la Bahia, 29",3 hab.,1.200 €,100 m²,Planta 11ª exterior con ascensor,"['2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur, este', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/102589143/
"Alquiler de Piso en avenida Marconi, 30",4 hab.,1.000 €,80 m²,Planta 3ª exterior sin ascensor,"['1 baño', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107243293/
"Alquiler de Piso en calle Amor Brujo, 7",3 hab.,1.000 €,60 m²,Planta 1ª exterior con ascensor,"['1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/27964159/
"Alquiler de Piso en Maria Auxiliadora, 6",3 hab.,1.000 €,115 m²,Planta 2ª exterior sin ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Orientación oeste', 'Amueblado y cocina equipada', 'Calefacción individual']",https://www.idealista.com/inmueble/103821095/
"Alquiler de Piso en calle Cristóbal Colón, 1",3 hab.,1.150 €,122 m²,Planta 2ª exterior con ascensor,"['2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/89124373/
"Alquiler de Piso en calle Cruz Roja Española, 11",3 hab.,1.100 €,77 m²,Planta 7ª exterior con ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/106418091/
"Alquiler de Piso en calle Marqués del Real Tesoro, 3",3 hab.,1.200 €,110 m²,Bajo exterior sin ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/103310334/
"Alquiler de Piso en avenida Alcalde Manuel de la Pinta, 9",3 hab.,1.200 €,95 m²,Planta 1ª exterior con ascensor,"['1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Amueblado y cocina equipada', 'Calefacción individual: Bomba de frío/calor']",https://www.idealista.com/inmueble/105727483/
Alquiler de Piso en La Caleta - La Viña,3 hab.,1.200 €,120 m²,Planta 3ª exterior sin ascensor,"['1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107186072/
Alquiler de Piso en Mentidero - Teatro Falla - Alameda,5 hab.,1.000 €,121 m²,Bajo exterior sin ascensor,"['2 baños', 'Segunda mano/buen estado', 'Orientación oeste', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica']",https://www.idealista.com/inmueble/106209042/
"Alquiler de Piso en avenida Andalucía, 66",4 hab.,1.250 €,150 m²,Planta 2ª exterior con ascensor,"['2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107133653/
"Alquiler de Piso en calle Ciudad de Santander, 4 n",3 hab.,1.000 €,90 m²,Planta 3ª exterior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/107099005/
"Alquiler de Piso en calle Bendición de Dios, 18 1 izd",4 hab.,1.100 €,130 m²,Planta 1ª interior sin ascensor,"['1 baño', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/94260302/
"Alquiler de Piso en calle Drago, 1",3 hab.,1.050 €,80 m²,Planta 1ª exterior con ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/98501734/
"Alquiler de Piso en calle Granja San Ildefonso, 2",3 hab.,1.000 €,95 m²,Planta 9ª exterior con ascensor,"['1 baño', 'Terraza', 'Segunda mano/buen estado', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/90273570/
"Alquiler de Piso en calle sociedad, 10",4 hab.,1.300 €,160 m²,Bajo exterior con ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción individual: Gas natural']",https://www.idealista.com/inmueble/31287355/
"Alquiler de Piso en Benito Pérez Galdós, 84",4 hab.,1.040 €,150 m²,Bajo interior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/105800435/
"Alquiler de Piso en calle Benito Pérez Galdos, 84",4 hab.,1.040 €,150 m²,Bajo interior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/105050810/
"Alquiler de Piso en avenida Cayetano del Toro, 5 -7",4 hab.,1.300 €,100 m²,Planta 4ª exterior con ascensor,"['2 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación oeste', 'Cocina equipada y casa sin amueblar']",https://www.idealista.com/inmueble/98361159/
"Alquiler de Piso en paseo marítimo.Cortadua, 1",3 hab.,1.000 €,90 m²,Planta 7ª exterior con ascensor,"['2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/105644358/
"Alquiler de Piso en paseo marítimo, 12",3 hab.,1.200 €,140 m²,Planta 1ª exterior con ascensor,"['2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/106018552/
"Alquiler de Piso en Corralón de los Carros, 54",3 hab.,1.125 €,110 m²,Planta 1ª exterior sin ascensor,"['1 baño', 'Balcón', 'Segunda mano/buen estado', 'Amueblado y cocina equipada', 'No dispone de calefacción']",https://www.idealista.com/inmueble/98560900/
"Alquiler de Piso en calle Benito Pérez Galdós, 84",4 hab.,1.000 €,130 m²,Planta 3ª exterior con ascensor,"['2 baños', 'Segunda mano/buen estado', 'Amueblado y cocina equipada']",https://www.idealista.com/inmueble/105624317/
