localizacion,precio,habitaciones,espacio,planta
"Ático en calle General Muñoz Arenillas, Playa Victoria - Paseo Marítimo, Cádiz",750.000€,5,266,Planta 6ª exterior con ascensor
"Piso en avenida Andalucía, 32, Playa Stª Mª del Mar, Cádiz",530.000€,4,135,Planta 5ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",750.000€,6,212,Planta 5ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",550.000€,4,261,Planta 1ª exterior con ascensor
"Piso en calle Marianista Cubillo, Playa Victoria - Paseo Marítimo, Cádiz",625.000€,4,155,Planta 2ª exterior con ascensor
"Piso en avenida Andalucía, 68, Playa Victoria - Paseo Marítimo, Cádiz",750.000€,4,200,Planta 7ª exterior con ascensor
"Piso en beato diego, 2, Centro Histórico - Plaza España, Cádiz",580.000€,4,273,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, 80, Playa Victoria - Paseo Marítimo, Cádiz",598.000€,4,164,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, 84, Playa Victoria - Paseo Marítimo, Cádiz",590.000€,4,201,Planta 3ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",550.000€,6,222,Planta 2ª exterior con ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",615.000€,5,358,Planta 1ª exterior con ascensor
"Piso en Zona San José - Varela, Cádiz",590.000€,4,201,Planta 3ª exterior con ascensor
"Piso en calle Cánovas del Castillo, Centro Histórico - Plaza España, Cádiz",595.000€,6,237,Planta 4ª exterior con ascensor
"Piso en plaza San Antonio, Centro Histórico - Plaza España, Cádiz",585.000€,4,223,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",530.000€,3,119,Planta 2ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",650.000€,5,250,Planta 2ª exterior con ascensor
"Piso en calle Ancha, Centro Histórico - Plaza España, Cádiz",550.000€,6,222,Planta 2ª exterior con ascensor
"Piso en calle Ancha, Centro Histórico - Plaza España, Cádiz",750.000€,8,266,Planta 1ª exterior sin ascensor
"Piso en avenida Marina, Zona Bahía Blanca, Cádiz",525.000€,5,193,Planta 3ª exterior con ascensor
"Casa o chalet independiente en Ayuntamiento - Catedral, Cádiz",590.000€,9,382,N/A
"Piso en avenida Ana de Viya, Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,106,Planta 1ª exterior con ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",750.000€,5,300,Planta 2ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",570.000€,4,261,Planta 1ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",750.000€,3,127,Planta 6ª exterior con ascensor
"Dúplex en Mentidero - Teatro Falla - Alameda, Cádiz",540.000€,3,130,Planta 2ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,3,210,Planta 4ª exterior con ascensor
"Casa o chalet independiente en Centro Histórico - Plaza España, Cádiz",750.000€,6,481,N/A
"Piso en calle Hibiscos, Zona Bahía Blanca, Cádiz",750.000€,6,212,Planta 5ª exterior con ascensor
"Piso en avenida Andalucía, Playa Stª Mª del Mar, Cádiz",750.000€,5,190,Planta 7ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",520.000€,4,150,Planta 4ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,152,Planta 1ª con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",570.000€,4,229,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",750.000€,3,195,Planta 4ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",599.000€,5,231,Planta 2ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,108,Planta 1ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,107,Planta 1ª exterior con ascensor
"Piso en plaza Asdrúbal, 4, Playa Victoria - Paseo Marítimo, Cádiz",590.000€,4,168,Planta 4ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",500.000€,4,150,Planta 4ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",525.000€,5,193,Planta 3ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,108,Planta 1ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",580.000€,4,300,Bajo exterior sin ascensor
"Piso en La Caleta - La Viña, Cádiz",500.000€,5,200,Planta 1ª exterior sin ascensor
"Piso en Zona Bahía Blanca, Cádiz",580.000€,5,156,Planta 3ª exterior con ascensor
"Casa o chalet independiente en Centro Histórico - Plaza España, Cádiz",650.000€,10,750,N/A
"Casa o chalet independiente en Zona Laguna, Cádiz",780.000€,5,280,N/A
"Piso en La Caleta - La Viña, Cádiz",600.000€,5,173,Planta 5ª exterior con ascensor
"Piso en glorieta Helios, 4, Playa Victoria - Paseo Marítimo, Cádiz",500.000€,4,150,Planta 4ª exterior con ascensor
"Piso en avenida Andalucía, 75, Zona San José - Varela, Cádiz",700.000€,4,146,Planta 4ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",516.500€,3,152,Planta 1ª exterior con ascensor
"Piso en avenida Andalucía, 43, Zona San José - Varela, Cádiz",650.000€,4,236,Planta 4ª exterior con ascensor
"Piso en calle Acacias, 15, Zona Bahía Blanca, Cádiz",590.000€,5,190,Planta 6ª exterior con ascensor
"Piso en Zona Bahía Blanca, Cádiz",700.000€,4,170,Planta 2ª exterior con ascensor
"Piso en avenida Ana de Viya, 26, Playa Victoria - Paseo Marítimo, Cádiz",510.000€,3,152,Planta 1ª exterior con ascensor
"Piso en avenida de la Marina, 6, Zona Bahía Blanca, Cádiz",760.000€,4,170,Planta 2ª exterior con ascensor
"Piso en paseo Maritimo, 2, Playa Victoria - Paseo Marítimo, Cádiz",600.000€,3,136,Planta 10ª exterior con ascensor
